発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (Dp36bFnZqcZReeJO) の解答,評価,,,
4-21-2,SQLとは何ですか,リレーショナルデータベースを操作するための言語である,記述,リレーショナルデータベースを操作する言語.,正解 : 7,,,
4-21-3,離散グラフはどのようなデータの関係性を表す時に用いられますか,SNSでの人の繋がりや鉄道の路線図などの関係を表すときに用いられる,記述,つながりを表すような関係性を表す時.,不十分 : 3,,,
4-21-4,WebAPIではどのような形式でデータが提供されていますか,XML形式やJSON形式などで提供されている,記述,XML形式やJSON形式.,正解 : 7,,,
4-21-5,キー・バリュー形式のデータはプログラミング言語においてどのように呼ばれていますか,Pythonでは辞書といい、他の言語では連想配列、ハッシュなどと呼ばれている,記述,"連想配列, ハッシュ, 辞書などの呼ばれ方をする.",異なる修飾 : 6,,,
4-22-1,構造化データとは何ですか,行が観測対象、列が観測項目に対応したデータで表現されているデータセットのこと,記述,"行が観測対象, 列が観測項目に対応したデータで表現されるデータセット.",正解 : 7,,,
4-22-2,データの尺度にはどのようなものがありますか,質的データとして名義尺度と順序尺度、量的データとして間隔尺度と比例尺度がある,記述,"名義尺度, 順序尺度, 間隔尺度, 比例尺度",異なる修飾 : 6,,,
4-22-3,間隔尺度とはどのような尺度ですか,例えば気温などに用いられ、データの差は意味を持つがデータの比は意味を持たない,記述,等単位制があるデータの差に関する尺度.,矛盾 : 4,,,
4-22-4,単回帰分析とは何ですか,データに最も当てはまるように直線の傾きや切片を求め、傾きの解釈や目的関数の予測を行うことである,記述,"データが与えられたとき, データが最も当てはまる傾きと切片を求め, その解釈や答えの予測を行うこと.",異なる修飾 : 6,,,
4-22-5,回帰直線の説明力の高さはどのようにして評価されますか,直線上の値と実際の目的関数の値との差を残差といい、残差の絶対値が小さいほど説明力が高い,記述,残差の絶対値の大きさ.,不十分 : 3,,,
4-23-1,自然言語とは何ですか,プログラミング言語とは違い、人間の日常の会話や文書で用いる日本語や英語などの言語である,記述,人間の日常会話や文章などに用いる日本語や英語などの言語のこと.,異なる修飾 : 6,,,
4-23-2,テキストデータの処理における日本語と英語の違いは何ですか,英語は単語間に空白を置くため単語に区切ることは難しくないが、日本語は見るだけでは区切りがわからないため、単語として区 切ることが困難である ,記述,"日本語は文章から見て単語間の区切りが分からないのに対し, 英語はわかる.",正解 : 7,,,
4-23-3,AIアシスタントはどのような流れで応答を返していますか,人間の音声をテキストに変換し、形態素解析を行い、意味解釈を行い、応答を返している,記述,"人間の音声をテキストに変換し, 形態素解析を行い, 意味解釈を行うことで回答を返す.",正解 : 7,,,
4-23-4,日本語のテキストマイニングを行うには何が必要ですか,文章を意味のある最小単位に分解する形態素解析を行う必要がある記述 4-,記述,文章を形態素解析するソフトウェア.,異なる修飾 : 6,,,
4-23-5,小説の作品分析においてテキストマイニングを用いた分析ではどのようなことが可能となりますか,文学作者の作者の言葉の使い方などを分析でき、未発表の作品についてその作者が書いたものであるかを確かめることができる,記述,作品の作家が本人かどうかの確認.,不十分 : 3,,,
4-24-1,カテゴリ型データとは何ですか,名義尺度と順序尺度をまとめてカテゴリ型データという,記述,名義尺度と順序尺度のデータ.,正解 : 7,,,
4-24-2,順序尺度のデータ間の関係を端的に可視化するにはどうすれば良いか,分割表やマリメッコチャートを用いる,記述,"分割表やモザイク図, マリメッコチャートなどを用いて表す.",正解 : 7,,,
4-24-3,矩形データを可視化するにはどのようなソフトウェアを用いれば良いですか,統計解析ソフトウェアであるRやTableau社が提供しているTableauDesktopを用いる,記述,統計解析や可視化専用のソフトウェア.,不十分 : 3,,,
4-24-4,カテゴリ型データは量的データとどのような点で異なりますか,数値で表現されていても表現されていても量的データと同様の演算や可視化を行うことができない,記述,数やその差自体に大きな意味を持たないデータであるという点.,矛盾 : 4,,,
4-24-5,データの可視化はどのようなことに活用できますか,可視化をすることで問題の発見や現象の説明に活用でき、予測を立てて活用することもできる,記述,問題発見やその解決策の模索.,不十分 : 3,,,
