発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (Vr2HP91stjxKwVNy) の解答,評価,,,
3-11-1,コンピュータではどのような機器から情報を入力し、どのような機器から情報が出力されますか,キーボードやマウス、タブレットから情報を入力し、パソコンが内部で計算を行い、ディスプレイやプリンターから情報が出力さ れる ,図,入力装置から情報を入力し、出力装置から情報を出力する。,不十分 : 3,,,
3-11-2,コンピュータの内部はどのようなもので構成されていますか,コンピュータは制御装置、演算装置、記憶装置、入力装置、出力装置で構成されている,記述,制御装置、演算装置、記憶装置、入力装置、出力装置,正解 : 7,,,
3-11-3,ハードディスクの代わりにSSD (Solid State Drive) を用いると、コンピュータはどのように変化しますか,データの読み書きが速くなり、コンピュータの処理速度が向上する,記述,コンピュータの実質的な動作速度を上げることができる。,正解 : 7,,,
3-11-4,論理演算における基本的な演算とは何ですか,AND、OR、NOTの3つが基本的な演算である,記述,AND、OR、NOT,正解 : 7,,,
3-11-5,コンピュータの計算誤差は例えばどのような状況で発生しますか,例えば20ビットの情報を15ビットの箱に入れると、5ビット分の情報が失われて計算誤差となる,図,コンピュータに定められたビット数に収まらないビット数が入力された状況。,正解 : 7,,,
3-12-1,コンピュータによる計測とはどのようなことを指しますか,コンピュータによる計測とは、センサなどの装置を使って自然現象などの量を測ることである。,記述,センサなどの装置を使って自然現象などの量を測ること。,正解 : 7,,,
3-12-2,アナログ型のセンサやアクチュエータをコンピュータ計測制御システムで用いるときには何が必要になりますか,入力前にアナログデータをデジタルデータに変換するADコンバータと、出力前にデジタルデータをアナログデータに変換するDA コンバータが必要である ,図,ポートから入力した生のデータをセンサの特性に合わせてプログラム上で計算式によって温度などの物理量に変換すること。,不十分 : 3,,,
3-12-3,アクチュエータとは何ですか,コンピュータが制御した情報を物理的に外部へ伝える装置のことである,記述,コンピュータが制御した情報を物理的に伝える装置のこと。,正解 : 7,,,
3-12-4,我々の生活に身近なアクチュエータはどのような例が挙げられますか,ブラシレスDCモーター、油圧シリンダ、空気圧シリンダがある,表,ブラシレスＤＣモーター 、油圧シリンダ、空気圧シリンダ,正解 : 7,,,
3-12-5,我々の生活に身近なセンサにはどのような例があげられますか,温度センサ、煙センサ、赤外線センサ、超音波センサ、レーザー、レーダー等のセンサ、加速度センサがある,表,温度センサ、湿度センサ、煙センサ、赤外線センサ、超音波センサ、レーザー、レーダー等のセンサ、加速度センサ,正解 : 7,,,
