発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (Hdq1vGvfnK2dGgoL) の解答,評価,,,
1-3-4,我々は個人情報を持つ企業や行政に対しどのような権利を保証されていますか,個人情報を持つ企業や行政に対し、開示、訂正、利用停止等を求めることができる,記述,我々は、個人情報を持つ企業や行政機関について、開示、訂正、利用停止等を求めることができる権利が保障されているので、これらを適切に行使して自分の個人情報を適切に保つことができる。,正解 : 7,,,
1-3-5,個人識別符号とは具体的にどのようなものですか,生体情報を変換した符号であるDNA、顔、虹彩などや、公的な番号であるパスポート番号、マイナンバーなどである ,図,マイナンバーやパスポート番号などのこと。,不十分 : 3,,,
1-4-1,スマートフォンやSNSの普及によって利便性が向上した反面、どのようなことが問題となっていますか,情報格差や健康への影響、いじめや犯罪に巻き込まれるといった問題がある,記述,年齢や所得など、個人の技術や社会環境の差により格差（デジタルデバイド）が生じ、新しい情報を手に入れる機会や量が異なることがある。,不十分 : 3,,,
1-4-2,10代と60代の情報源はどのように異なりますか,10代はSNSや動画投稿・共有サイト、友人とのチャットが情報源であり、60代は新聞やテレビを情報源としている,記述,10代は情報源として、SNSや動画投稿・共有サイト、友人とのチャットが中心である。60代は情報源として、新聞やテレビが中心である。,正解 : 7,,,
1-4-3,高校生のインターネット利用目的はどのようなものが挙げられますか,主な利用目的としてコミュニケーション、動画視聴、音楽試聴があげられる,記述,コミュニケーション、動画視聴、音楽試聴などが挙げられる。,正解 : 7,,,
1-4-4,情報機器の普及による健康被害にはどのようなものがありますか,目が疲れたり肩こりが生じたりする身体的な症状と、情報機器に過度に依存してしまう不安症などが挙げられる,記述,目が疲れたり肩こりが生じたりという身体的な症状や、また、過度に情報機器に依存してしまう不安症などという健康被害（テクノストレス）を生じさせることもある。,正解 : 7,,,
1-4-5,情報社会には光と影の面がありますが、どのようにして影の面をなくせば良いですか,問題解決の考え方を適応し、問題点を明確に、具体的な理想を明らかにして分析を進め、情報や情報技術を活用しながら知恵や思 考力をもって影の面をなくす ,記述,光の面は十分に享受するとともに、問題解決の考え方を利用し、問題点を明確にし、具体的な理想を明らかにして分析を進めるとともに、情報や情報技術を効果的に利用しながら、知恵や思考力をもって生徒自身の力で影の面を無くしていく方向に促すことは重要である。,正解 : 7,,,
1-5-1,電子マネーとは何ですか,電子マネーとは電子的なやり取りにより、現金の代わりに決済ができるサービスのことを指す,記述,電子マネーとは、電子的なデータのやりとりにより、現金の代わりに決済できるサービスである。,正解 : 7,,,
1-5-2,キャッシュレス化が進む中国や韓国ではどのような決済方法が利用されていますか,店舗が用意したQRコードを読み込む、もしくはスマートフォンでQRコードを表示して店員が読み取るQRコード決済が利用されて いる ,記述,QRコード決済,異なる修飾 : 6,,,
1-5-3,完全セルフレジのメリットとデメリットは何ですか,完全セルフレジは複数のレジを1人のスタッフで対応できるメリットがあるが、利用者にとっては慣れないと操作が難しく、購入を 諦めてしまうデメリットがある ,記述,複数のレジを一人のスタッフで対応できるメリットがある反面、利用者にとっては慣れないと難しく購入をあきらめてしまう可能性もある。,正解 : 7,,,
1-5-4,近年注目されている深層学習はどのような特徴がありますか,多くのデータを読み込ませることで機械が自動的に学んでいくことが可能という特徴を持つ,記述,従来の機械学習とは異なり、AIに多くのデータを読み込ませることで機械が自動的に学んでいくことが可能であるという点に特徴がある。,正解 : 7,,,
1-5-5,バリアフリーとユニバーサルデザインはどう違いますか,バリアフリーは障がい者や高齢者、妊婦にとって障壁となるものを取り除くという考えで、ユニバーサルデザインは障がい者、高 齢者問わず、全ての人が生活しやすい環境を実現する考えである ,記述,障がい者、高齢者、妊婦などにとって障壁（バリア）となっているものを取り除こうという考え方からスタートしたのがバリアフリーである。一方で、ユニバーサルデザインは障がいの有無、年齢、性別、人種等にかかわらず、すべての人にとって生活しやすい環境を実現するための工夫をさす。,正解 : 7,,,
2-6-1,アナログデータとデジタルデータの違いは何ですか,温度や時間などの連続的に変化する量をアナログデータといい、連続する量を一定間隔ごとに区切り、数値を用いて現したものを デジタルデータという ,記述,私たちの身の回りには、温度や時間など連続的に変化するものがたくさんある。このような情報をアナログデータという。デジタルは連続する量を一定間隔ごとに区切り、数値を用いて表す方法である。,正解 : 7,,,
2-6-2,アナログデータをデジタルデータに変換するにはどうすれば良いですか,連続する量を一定間隔で区切る標本化を行い、次にそれぞれの値に段階的な値を割り当てる量子化を行い、最後に量子化した数値 を2進数で表現する符号化を行う ,記述,アナログ情報をデジタル化するときには、連続的に変化する量を一定の時間間隔で区切る標本化、それぞれの値にあらかじめ定めた段階値を割り当てる量子化、量子化した数値を2進法で表現する符号化の手順が行われる。,正解 : 7,,,
2-6-3,デジタル画像における解像度とは何ですか,デジタル画像において画素という点の集まり具合を解像度という,記述,画素（ピクセル）の集まり具合を解像度といい、ラスタデータにおいて画像の細かさを示すもので、1インチ当たりにいくつの点（ドット）を置くかを数値で表したもので、dpi（dotper inch）を単位として用いる。ラスタデータでは、画像解像度の数値が高くなるほど、滑らかな画像になる。,異なる修飾 : 6,,,
2-6-4,画像データの主なファイル形式にはどのようなものが挙げられますか,画像データの主なファイル形式にはGIF、JPEG、PNG、BMP、EPSがある,表,GIF、JPEG、PNG、BMP、EPSなどが挙げられる。,正解 : 7,,,
2-6-5,テキストや文書ファイルと、画像や音声ファイルの圧縮方法は何が違いますか,テキストや文書ファイルは完全に復元する必要があるため可逆圧縮を用いる。動画や音声、画像ファイルは完全に復元する必要が ないため非可逆圧縮を用いる。 ,記述,文書ファイルなどは、圧縮したものを完全に元に戻す必要がある。このような圧縮方法を可逆圧縮といい、ランレングス法やハフマン法などがある。画像、音声、動画などのファイルは、完全に元に戻す必要がない場合もある。このような圧縮方法を非可逆圧縮といい、可逆圧縮に比べて圧縮率をあげることができる場合が多い。,正解 : 7,,,
