発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (9oRn9DLzQAcs7KDi) の解答,評価,,,
1-3-3,個人情報とは何ですか,生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述等により特定の個人を識別することができ るもの、あるいは個人識別符号が含まれるもの ,記述,「生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述などによって特定の個人を識別できるもの（他の情報と容易に照合することができ、それによって特定の個人を識別することができることとなるものを含む。）、または個人識別符号が含まれるもの。」【「個人情報の保護に関する法律」より】,正解 : 7,,,
1-3-4,我々は個人情報を持つ企業や行政に対しどのような権利を保証されていますか,個人情報を持つ企業や行政に対し、開示、訂正、利用停止等を求めることができる,記述,開示・訂正・利用停止など,不十分 : 3,,,
1-3-5,個人識別符号とは具体的にどのようなものですか,生体情報を変換した符号であるDNA、顔、虹彩などや、公的な番号であるパスポート番号、マイナンバーなどである ,図,マイナンバー・パスポート番号など,不十分 : 3,,,
1-4-1,スマートフォンやSNSの普及によって利便性が向上した反面、どのようなことが問題となっていますか,情報格差や健康への影響、いじめや犯罪に巻き込まれるといった問題がある,記述,年齢や所得など、個人の技術や社会環境の差により格差（デジタルバイト）が生じ、新しい情報を手に入れる機械や量が異なる問題がある,不十分 : 3,,,
1-4-2,10代と60代の情報源はどのように異なりますか,10代はSNSや動画投稿・共有サイト、友人とのチャットが情報源であり、60代は新聞やテレビを情報源としている,記述,１０代：SNSや動画投稿・共有サイト、友人とのチャットなど・６０代：ニュースサイト、新聞、テレビ,正解 : 7,,,
1-4-3,高校生のインターネット利用目的はどのようなものが挙げられますか,主な利用目的としてコミュニケーション、動画視聴、音楽試聴があげられる,記述,他の生徒とのコミュニケーションを行う目的,欠如 : 5,,,
1-4-4,情報機器の普及による健康被害にはどのようなものがありますか,目が疲れたり肩こりが生じたりする身体的な症状と、情報機器に過度に依存してしまう不安症などが挙げられる,記述,目の疲れ、肩こり、依存体質による不安症,不十分 : 3,,,
1-4-5,情報社会には光と影の面がありますが、どのようにして影の面をなくせば良いですか,問題解決の考え方を適応し、問題点を明確に、具体的な理想を明らかにして分析を進め、情報や情報技術を活用しながら知恵や思 考力をもって影の面をなくす ,記述,情報を効果的に利用しながら、知恵としkぽうりょくも使いインターネット利用生徒自ら問題を解決しなければならない,不十分 : 3,,,
1-5-1,電子マネーとは何ですか,電子マネーとは電子的なやり取りにより、現金の代わりに決済ができるサービスのことを指す,記述,電子的なマネーのやり取りを行い、現金の代わりに決済を行う事,不十分 : 3,,,
1-5-2,キャッシュレス化が進む中国や韓国ではどのような決済方法が利用されていますか,店舗が用意したQRコードを読み込む、もしくはスマートフォンでQRコードを表示して店員が読み取るQRコード決済が利用されて いる ,記述,QRコード決済,異なる修飾 : 6,,,
1-5-3,完全セルフレジのメリットとデメリットは何ですか,完全セルフレジは複数のレジを1人のスタッフで対応できるメリットがあるが、利用者にとっては慣れないと操作が難しく、購入を 諦めてしまうデメリットがある ,記述,メリット：複数のレジを一人のスタッフで対応可能、デメリット：利用者が不慣れな場合購入を諦める可能性,正解 : 7,,,
1-5-4,近年注目されている深層学習はどのような特徴がありますか,多くのデータを読み込ませることで機械が自動的に学んでいくことが可能という特徴を持つ,記述,AIに多くのデータを読み込ませて機会が自動的に学ぶことが可能,正解 : 7,,,
1-5-5,バリアフリーとユニバーサルデザインはどう違いますか,バリアフリーは障がい者や高齢者、妊婦にとって障壁となるものを取り除くという考えで、ユニバーサルデザインは障がい者、高 齢者問わず、全ての人が生活しやすい環境を実現する考えである ,記述,障がい者や高齢者などに対して障壁（バリア）となっているものを取り除く考えがバリアフリー、一方障がい者や高齢者に関わらず年齢人種問わず全ての人に生活しやすい環境を目指すものがユニバーサルデザインである,不十分 : 3,,,
2-6-1,アナログデータとデジタルデータの違いは何ですか,温度や時間などの連続的に変化する量をアナログデータといい、連続する量を一定間隔ごとに区切り、数値を用いて現したものを デジタルデータという ,記述,連続的に変化するデータをアナログデータ、それを一定間隔ごとに区切り数値を用いて表したものをデジタルデータと呼ぶ,正解 : 7,,,
2-6-2,アナログデータをデジタルデータに変換するにはどうすれば良いですか,連続する量を一定間隔で区切る標本化を行い、次にそれぞれの値に段階的な値を割り当てる量子化を行い、最後に量子化した数値 を2進数で表現する符号化を行う ,記述,連続的に変化する量を一定の時間間隔で区切る標本化、それぞれの値にあらかじめ定めた段階値を割り当てる量子化、量子化した数値を2進法で表現する符号化の手順が必要である,正解 : 7,,,
2-6-3,デジタル画像における解像度とは何ですか,デジタル画像において画素という点の集まり具合を解像度という,記述,色情報を持った点で表現しているラスタデータに対して1インチ当たりに置く点の数,不十分 : 3,,,
2-6-4,画像データの主なファイル形式にはどのようなものが挙げられますか,画像データの主なファイル形式にはGIF、JPEG、PNG、BMP、EPSがある,表,GIF・JPEG・PNG・BMP・EPS,正解 : 7,,,
2-6-5,テキストや文書ファイルと、画像や音声ファイルの圧縮方法は何が違いますか,テキストや文書ファイルは完全に復元する必要があるため可逆圧縮を用いる。動画や音声、画像ファイルは完全に復元する必要が ないため非可逆圧縮を用いる。 ,記述,圧縮したものを完全に元すことが可能な可逆圧縮はテキストや文章ファイルに用いられ、そうでない非可逆圧縮は画像や音声ファイルに用いられる,正解 : 7,,,
