発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (DX0edaiXPerNsXtz) の解答,評価,,,
1-3-1,情報機器が普及したことで著作権に対してどのようなことに気を付ければ良いですか,情報機器が普及したことで映像や音楽、イラストや写真など多くの著作物を手軽に利用かつ複製できるようになったため、著作権 についてよく理解した上で活用するようにしなければならない ,記述,知らぬ間に著作権を侵害しないよう気を付ける,不十分 : 3,,,
1-3-2,産業財産権にはどのようなものがありますか,産業財産権には、新しい発明を出願から20年間保護する特許権、物品の構造・形状の考案を出願から20年間保護する実用新案権、 商品やサービスに使用するマークを保護する商標権、物品のデザインを登録から25年間保護する意匠権がある。 ,図,特許権、商標権、実用新案権、意匠権,異なる修飾 : 6,,,
1-3-3,個人情報とは何ですか,生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述等により特定の個人を識別することができ るもの、あるいは個人識別符号が含まれるもの ,記述,生存する個人に関する情報であって、当該情報に含まれる氏名、生年月日その他の記述などによって特定の個人を識別できるもの（他の女容易に照合でき、それによって特定の個人を識別することができることとなるものを含む。）、または個人識別符号が含まれるもの。,正解 : 7,,,
1-3-4,我々は個人情報を持つ企業や行政に対しどのような権利を保証されていますか,個人情報を持つ企業や行政に対し、開示、訂正、利用停止等を求めることができる,記述,個人情報の開示、訂正、利用停止を請求する権利,正解 : 7,,,
1-3-5,個人識別符号とは具体的にどのようなものですか,生体情報を変換した符号であるDNA、顔、虹彩などや、公的な番号であるパスポート番号、マイナンバーなどである ,図,マイナンバーやパスポート番号等,欠如 : 5,,,
1-4-1,スマートフォンやSNSの普及によって利便性が向上した反面、どのようなことが問題となっていますか,情報格差や健康への影響、いじめや犯罪に巻き込まれるといった問題がある,記述,情報格差や健康への影響、いじめや犯罪への巻き込まれ等,正解 : 7,,,
1-4-2,10代と60代の情報源はどのように異なりますか,10代はSNSや動画投稿・共有サイト、友人とのチャットが情報源であり、60代は新聞やテレビを情報源としている,記述,10代はSNSや動画投稿・共有サイト、友人とのチャット、60代はニュースサイトや新聞、テレビを多くの情報源としている,正解 : 7,,,
1-4-3,高校生のインターネット利用目的はどのようなものが挙げられますか,主な利用目的としてコミュニケーション、動画視聴、音楽試聴があげられる,記述,コミュニケーション、動画視聴、音楽試聴,正解 : 7,,,
1-4-4,情報機器の普及による健康被害にはどのようなものがありますか,目が疲れたり肩こりが生じたりする身体的な症状と、情報機器に過度に依存してしまう不安症などが挙げられる,記述,目が疲れたり肩こりが生じたり、情報機器への依存による不安症等,異なる修飾 : 6,,,
1-4-5,情報社会には光と影の面がありますが、どのようにして影の面をなくせば良いですか,問題解決の考え方を適応し、問題点を明確に、具体的な理想を明らかにして分析を進め、情報や情報技術を活用しながら知恵や思 考力をもって影の面をなくす ,記述,問題解決の考え方を利用し、問題点を明確にし、具体的な理想を明らかにして分析を進める,欠如 : 5,,,
1-5-1,電子マネーとは何ですか,電子マネーとは電子的なやり取りにより、現金の代わりに決済ができるサービスのことを指す,記述,電子的なデータのやりとりにより、現金の代わりに決済できるサービス,正解 : 7,,,
1-5-2,キャッシュレス化が進む中国や韓国ではどのような決済方法が利用されていますか,店舗が用意したQRコードを読み込む、もしくはスマートフォンでQRコードを表示して店員が読み取るQRコード決済が利用されて いる ,記述,QRコード決済,異なる修飾 : 6,,,
1-5-3,完全セルフレジのメリットとデメリットは何ですか,完全セルフレジは複数のレジを1人のスタッフで対応できるメリットがあるが、利用者にとっては慣れないと操作が難しく、購入を 諦めてしまうデメリットがある ,記述,メリットは複数のレジを店員が一人で対応できること、デメリットは利用者が慣れていないと購入を諦めてしまう可能性があること,正解 : 7,,,
1-5-4,近年注目されている深層学習はどのような特徴がありますか,多くのデータを読み込ませることで機械が自動的に学んでいくことが可能という特徴を持つ,記述,AIに多くのデータを読み込ませ、機械が自動的に学んでいく,正解 : 7,,,
1-5-5,バリアフリーとユニバーサルデザインはどう違いますか,バリアフリーは障がい者や高齢者、妊婦にとって障壁となるものを取り除くという考えで、ユニバーサルデザインは障がい者、高 齢者問わず、全ての人が生活しやすい環境を実現する考えである ,記述,バリアフリーは誰かにとって障壁となっているものを取り除こうという考え方、ユニバーサルデザインはすべての人にとって生活しやすい環境を実現するための工夫,異なる修飾 : 6,,,
2-6-1,アナログデータとデジタルデータの違いは何ですか,温度や時間などの連続的に変化する量をアナログデータといい、連続する量を一定間隔ごとに区切り、数値を用いて現したものを デジタルデータという ,記述,アナログデータは湿度や時間などの連続的に変化するもの、デジタルデータは連続する量を一定間隔ごとに区切り、数値を用いて表す,異なる修飾 : 6,,,
2-6-2,アナログデータをデジタルデータに変換するにはどうすれば良いですか,連続する量を一定間隔で区切る標本化を行い、次にそれぞれの値に段階的な値を割り当てる量子化を行い、最後に量子化した数値 を2進数で表現する符号化を行う ,記述,複数の素子の電圧など段階の組み合わせを用いる、二進法等,不十分 : 3,,,
2-6-3,デジタル画像における解像度とは何ですか,デジタル画像において画素という点の集まり具合を解像度という,記述,画素と呼ばれる点の集まり具合を指す,正解 : 7,,,
2-6-4,画像データの主なファイル形式にはどのようなものが挙げられますか,画像データの主なファイル形式にはGIF、JPEG、PNG、BMP、EPSがある,表,GIF、JPEG、PNG、BMP、EPS,正解 : 7,,,
2-6-5,テキストや文書ファイルと、画像や音声ファイルの圧縮方法は何が違いますか,テキストや文書ファイルは完全に復元する必要があるため可逆圧縮を用いる。動画や音声、画像ファイルは完全に復元する必要が ないため非可逆圧縮を用いる。 ,記述,テキストや文書ファイルは閲覧する際に圧縮を完全に戻す必要があるため可逆圧縮を用いるが、画像や動画ファイルは完全に戻す必要性のないものもあるため非可逆圧縮といい圧縮率をあげることができる,正解 : 7,,,
