発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (nUDPGUsLdf7Bh3zG) の解答,評価,,,
3-15-1,線型探索とはどのようなアルゴリズムですか,リストの先頭から順番に値を比較していき、探索値に一致するデータを探し出すアルゴリズムである,記述,リストの要素の先頭から順に一個ずつ探している値とを比較していくアルゴリズム,正解 : 7,,,
3-15-2,二分探索とはどのようなアルゴリズムですか,リストの中から探索範囲を半分づつ狭めながら目的とするデータを探し出すアルゴリズムである,記述,探索範囲を半分ずつ挟めながら探索値を求めるアルゴリズム,正解 : 7,,,
3-15-3,線型探索でのデメリットは何ですか,左側から探索を行う線形探索では探索値が左側にあるか右側にあるかで探索時間が大きく変わるため、データが多くなると探索に 時間がかかる ,記述,データ数が大きいと時間がかかる,異なる修飾 : 6,,,
3-15-4,クイックソートとはどのようなアルゴリズムですか,クイックソートはリスト内の1つのデータを軸として大小に分割した後、分割したデータに対して同じ処理を行うことで並び替えを 実現するアルゴリズムである ,記述,リスト内のデータの1つを基準にデータを比較しソートしていくアルゴリズム,異なる修飾 : 6,,,
3-15-5,クイックソートはどのような場合で選択ソートよりも処理の時間が長くなりますか,クイックソートはデータが逆順に並んでいる場合に選択ソートよりも処理の時間がかかることがある,記述,ソートしたい方向とは真逆で並べ替えられたりしていた場合,異なる修飾 : 6,,,
3-16-1,モデルとは何ですか,モデルとは事物や現象の本質的な形状や規則性を抽象化してより単純化したもののことである,記述,現象の本質的な法則などを抽象化、単純化させるたもの,正解 : 7,,,
3-16-2,モデルには大きく分けてどのような分類がありますか,時間的要素を含まないモデルを静的モデル、時間的要素を含むものを動的モデルという,記述,主に静的モデル、動的モデルの二つに分けることができ、中でも動的モデルは、確定モデルと確率モデルに分けることができる,異なる修飾 : 6,,,
3-16-3,Pythonの標準的なライブラリであるmatplotlibとはどのようなものですか,Matplotlibは計算結果などをわかりやすくグラフで表現するライブラリである,記述,グラフを描画するためのもの,正解 : 7,,,
3-16-4,モンテカルロ法とは何ですか,対象のモデルに乱数を大量に生成して入力し、近似解を得る手法である,記述,モデルに乱数を大量に入力させて近似値を得ようとするシミュレーション手法,正解 : 7,,,
3-16-5,Pythonで整数の乱数を得るにはどうしたら良いですか,randint関数を用いる,記述,乱数を発生させる関数を呼び出す(import),不十分 : 3,,,
3-17-1,物体の放物運動など自然現象をモデル化するにはどのような知識が必要ですか,数学や物理の知識が必要である,記述,数学や物理の知識が必要,正解 : 7,,,
3-17-2,変数表とは何ですか,プログラム中に用いる変数と諸条件をわかりやすくするために、変数名やその意味をまとめた表である,記述,プログラムで名前を付けるときに自分が理解できるように変数の名前とその意味をまとめた表のこと,異なる修飾 : 6,,,
3-17-3,ランダムウォークとはどのような時に用いられるモデルですか,ブラウン運動や株価の変動など不確実な現象のシミュレーションに用いられる,記述,ブラウン運動や株価の変動など不確実な現象のシミュレーションに用いられる,正解 : 7,,,
3-17-4,生物の個体数が制約条件の中で増加する際、グラフはどのような曲線になりますか,環境収容力に収束するS字曲線であるロジスティック曲線となる,記述,最初はゆっくりと増加しその後、速度を一定にして増加をする。最後はゆっくり速度を落としておく,不十分 : 3,,,
3-17-5,ランダムウォークは近年どのようなことに活用されていますか,でたらめな行動をする生物や人間の行動を分析するためのシミュレーションや、機械学習によく活用されている,記述,機械学習に活用されている,欠如 : 5,,,
4-18-1,通信の規定を定めたプロトコルにはどのような層に分けて考えられていますか,プロトコルは上位の層からアプリケーション層、トランスポート層、インターネット層、ネットワークインタフェース層に分けら れる ,図,アプリケーション層、トランスポート層、インターネット層、ネットワークインターフェース層,正解 : 7,,,
4-18-2,有線LANと無線LANの違いは何ですか,有線LANは通信上のネットワークインタフェースがEthernetの電気信号であり、無線LANは電波である,記述,通信の物理的な方法として電気信号であるか電波を利用するかの違い,異なる修飾 : 6,,,
4-18-3,無線LANの認証方式にはどのようなものがありますか,認証方式にはWEP、WPA、WPA2、WPA3がある,表,WEP、WPA、WPA2、WPA3,正解 : 7,,,
4-18-4,無線LANでの通信におけるデメリットは何ですか,電波でデータを伝搬するため傍受することが容易なのがデメリットである,記述,空気中を電波でデータを伝送するために傍受することが容易であること,正解 : 7,,,
4-18-5,WPA3の暗号化方式と暗号化アルゴリズムには何が使われていますか,WPA3の暗号化方式にはSAEが使われ、暗号化アルゴリズムにはCNSAが用いられる,表,CNSAという暗号化アルゴリズムが使われている,欠如 : 5,,,
